timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,eth_price,eth_oracle_ts
1776369219.776,219.776,0.55,10.82,0.54,40.1,0.56,55.0,0.59,75.0,0.44,55.0,0.41,75.0,0.46,20.1,0.47,48.0,0.01,0.02,2358.276364,1776369218000
1776369220.459,220.459,0.58,57.0,0.57,15.0,0.59,63.11,0.6,90.0,0.44,55.0,0.41,75.0,0.45,10.82,0.46,40.1,0.01,0.01,2358.00842,1776369219000
1776369221.965,221.965,0.58,25.0,0.56,30.0,0.59,44.93,0.6,110.0,0.41,35.8,0.4,90.0,0.42,61.71,0.43,15.0,0.01,0.01,2358.076464,1776369220000
1776369224.531,224.531,0.48,25.0,0.47,10.0,0.5,15.28,0.51,30.0,0.41,35.1,0.4,110.0,0.42,25.0,0.44,30.0,0.02,0.01,2358.271497,1776369223000
1776369225.161,225.161,0.5,10.0,0.49,71.0,0.52,64.25,0.53,70.0,0.5,15.28,0.49,30.0,0.52,25.0,0.53,10.0,0.02,0.02,2358.014035,1776369224000
1776369225.65,225.65,0.51,38.0,0.5,30.0,0.52,57.62,0.53,75.0,0.48,64.25,0.47,70.0,0.5,10.0,0.51,71.0,0.01,0.02,2358.014035,1776369224000
1776369226.346,226.346,0.51,48.0,0.5,30.0,0.52,53.4,0.53,75.0,0.48,57.62,0.47,75.0,0.49,38.0,0.5,30.0,0.01,0.01,2357.959019,1776369225000
1776369226.751,226.751,0.51,63.0,0.5,30.0,0.52,25.47,0.53,75.0,0.48,51.47,0.47,75.0,0.49,73.0,0.5,30.0,0.01,0.01,2357.959019,1776369225000
1776369227.088,227.088,0.51,60.96,0.5,30.0,0.52,25.47,0.53,75.0,0.48,25.47,0.47,75.0,0.49,63.0,0.5,30.0,0.01,0.01,2358.032231,1776369226000
1776369228.094,228.094,0.51,54.84,0.5,30.0,0.52,25.47,0.53,70.0,0.48,25.47,0.47,75.0,0.49,60.96,0.5,30.0,0.01,0.01,2358.09213,1776369227000
1776369229.157,229.157,0.51,64.84,0.5,30.0,0.52,23.47,0.53,70.0,0.48,25.47,0.47,70.0,0.49,54.84,0.5,30.0,0.01,0.01,2358.095181,1776369228000
1776369231.296,231.296,0.51,5.0,0.49,25.0,0.52,24.42,0.53,30.64,0.48,23.47,0.47,70.0,0.49,64.84,0.5,30.0,0.01,0.01,2358.086271,1776369229000
1776369231.695,231.695,0.43,5.0,0.42,5.01,0.45,35.0,0.46,175.0,0.54,147.0,0.53,10.0,0.56,1.16,0.58,5.01,0.02,0.02,2358.089582,1776369230000
