timestamp,elapsed_sec,up_bid_p1,up_bid_s1,up_bid_p2,up_bid_s2,up_ask_p1,up_ask_s1,up_ask_p2,up_ask_s2,down_bid_p1,down_bid_s1,down_bid_p2,down_bid_s2,down_ask_p1,down_ask_s1,down_ask_p2,down_ask_s2,up_spread,down_spread,bnb_price,bnb_oracle_ts
1776391461.562,261.562,0.84,19.3,0.83,23.39,0.85,2.64,0.86,5.0,0.18,2.46,0.17,5.0,0.19,5.0,0.2,5.0,0.01,0.01,631.631242,1776391460000
1776391462.995,262.995,0.85,25.39,0.84,24.3,0.86,0.39,0.87,5.0,0.15,2.64,0.14,5.0,0.16,19.3,0.17,23.39,0.01,0.01,631.644133,1776391461000
1776391471.039,271.039,0.89,36.6,0.88,29.6,0.9,14.6,0.91,16.0,0.14,0.39,0.13,5.0,0.15,25.39,0.16,24.3,0.01,0.01,631.641247,1776391469000
1776391471.305,271.305,0.89,36.6,0.88,29.6,0.9,3.6,0.91,16.0,0.1,14.6,0.09,16.0,0.11,36.6,0.12,29.6,0.01,0.01,631.641247,1776391469000
1776391472.218,272.218,0.9,13.06,0.89,36.6,0.91,16.0,0.92,17.0,0.1,3.6,0.09,16.0,0.11,36.6,0.12,29.6,0.01,0.01,631.642338,1776391471000
1776391472.464,272.464,0.83,22.76,0.82,22.6,0.91,16.0,0.92,17.0,0.09,16.0,0.08,17.0,0.1,13.06,0.11,36.6,0.08,0.01,631.642338,1776391471000
1776391472.968,272.968,0.83,22.76,0.82,22.6,0.86,5.0,0.87,5.0,0.09,16.0,0.08,17.0,0.17,22.76,0.18,22.6,0.03,0.08,631.642338,1776391471000
1776391473.579,273.579,0.83,27.76,0.82,22.6,0.87,3.33,0.88,5.0,0.14,5.0,0.13,5.0,0.17,22.76,0.18,22.6,0.04,0.03,631.642338,1776391471000
1776391474.889,274.889,0.86,31.6,0.85,5.0,0.89,4.0,0.9,5.0,0.13,3.33,0.12,5.0,0.17,27.76,0.18,22.6,0.03,0.04,631.642354,1776391473000
1776391476.493,276.493,0.89,5.0,0.88,5.0,0.92,0.47,0.93,19.0,0.1,1.0,0.09,16.0,0.13,5.0,0.14,26.6,0.03,0.03,631.65902,1776391475000
1776391480.875,280.875,0.92,5.0,0.91,5.0,0.93,12.44,0.94,21.0,0.08,0.47,0.07,19.0,0.11,5.0,0.12,5.0,0.01,0.03,631.686792,1776391479000
1776391483.961,283.961,0.92,5.0,0.91,5.0,0.93,2.44,0.94,16.0,0.07,12.44,0.06,21.0,0.08,5.0,0.09,5.0,0.01,0.01,631.679,1776391482000
1776391484.843,284.843,0.93,5.0,0.92,5.0,0.95,11.99,0.96,30.0,0.06,7.77,0.05,20.0,0.08,5.0,0.09,5.0,0.02,0.02,631.679139,1776391483000
1776391485.323,285.323,0.77,2.39,0.76,5.0,0.95,11.99,0.96,30.0,0.05,11.99,0.04,30.0,0.07,5.0,0.08,5.0,0.18,0.02,631.679139,1776391483000
1776391485.853,285.853,0.77,2.39,0.76,5.0,0.8,5.0,0.81,5.0,0.05,11.99,0.04,30.0,0.23,2.39,0.24,5.0,0.03,0.18,631.683,1776391484000
1776391486.798,286.798,0.78,5.0,0.77,2.39,0.81,2.69,0.82,5.0,0.2,5.0,0.19,5.0,0.23,2.39,0.24,5.0,0.03,0.03,631.683,1776391485000
1776391490.398,290.398,0.8,5.0,0.79,5.0,0.86,5.0,0.87,5.0,0.19,2.69,0.18,5.0,0.22,5.0,0.23,2.39,0.06,0.03,631.705,1776391489000
1776391491.414,291.414,0.84,5.0,0.83,5.0,0.89,4.0,0.9,5.0,0.14,5.0,0.13,5.0,0.2,5.0,0.21,5.0,0.05,0.06,631.706,1776391490000
1776391493.403,293.403,0.87,5.0,0.86,5.0,0.89,1.75,0.9,5.0,0.11,4.0,0.1,5.0,0.16,5.0,0.17,5.0,0.02,0.05,631.709,1776391492000
1776391494.584,294.584,0.92,5.0,0.91,5.0,0.94,1.8,0.95,16.99,0.06,4.84,0.05,16.99,0.12,5.0,0.13,5.0,0.02,0.06,631.709,1776391493000
1776391495.376,295.376,0.93,5.0,0.92,5.0,0.95,15.77,0.96,30.0,0.06,1.8,0.05,16.99,0.08,5.0,0.09,5.0,0.02,0.02,631.709,1776391494000
1776391495.966,295.966,0.99,663.51,0.98,5.0,,,,,,,,,0.01,666.23,0.07,5.0,,,631.709,1776391494000

# RESULT,winner=Up,slug=bnb-updown-5m-1776391200,ticks=89
